#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot,Cases/1M,pop,Deaths/1M,pop,TotalTests,Tests/,1M,pop,Population,Continent,1,Caseevery,X,ppl1,Deathevery,X,ppl1,Testevery,X,ppl,New,Cases/1M,pop,New,Deaths/1M,pop,Active,Cases/1M,pop
36,Romania,"2,776,910","64,094","2,606,660","106,156",695,"145,983","3,369","21,392,378","1,124,606","19,022,115",Europe,72971,"5,581"
37,Denmark,"2,753,889","4,948","2,508,317","240,624",37,"472,652",849,"126,006,400","21,626,561","5,826,465",Europe,"21,1780","41,298"
38,Greece,"2,538,168","26,303","2,343,150","168,715",364,"245,529","2,544","67,614,869","6,540,719","10,337,529",Europe,43930,"16,321"
39,Sweden,"2,460,783","17,516","2,327,235","116,032",50,"241,134","1,716","18,297,871","1,793,023","10,205,042",Europe,45831,"11,370"
40,Iraq,"2,309,816","25,076","2,259,068","25,672",84,"55,342",601,"18,085,562","433,318","41,737,351",Asia,"181,6642",615
41,Bangladesh,"1,948,148","29,096","1,849,946","69,106","1,264","11,635",174,"13,566,914","81,023","167,445,035",Asia,"865,75512",413
42,Serbia,"1,930,437","15,488","1,858,671","56,278",77,"222,445","1,785","8,862,846","1,021,271","8,678,250",Europe,45601,"6,485"
43,Hungary,"1,807,285","44,495","1,636,781","126,009",114,"187,884","4,626","10,882,684","1,131,357","9,619,145",Europe,52161,"13,100"
44,Jordan,"1,654,677","13,882","1,572,386","68,409",694,"159,514","1,338","16,319,298","1,573,209","10,373,252",Asia,67471,"6,595"
45,Georgia,"1,629,065","16,430","1,568,064","44,571","409,693","4,132","16,018,853","4,028,579","3,976,304",Asia,22420,"11,209"
46,Slovakia,"1,522,732","18,750","1,355,709","148,273",202,"278,680","3,431","6,517,764","1,192,837","5,464,084",Europe,42911,"27,136"
47,Pakistan,"1,516,150",+758,"30,287",+6,"1,467,868","+12,103","17,995",722,"6,647",133,"26,749,522","117,275","228,092,325",Asia,"1507,5319",3,0.03,79
48,Ireland,"1,326,946","6,571","1,210,536","109,839",51,"263,784","1,306","11,465,339","2,279,202","5,030,417",Europe,47660,"21,835"
49,Norway,"1,325,909","1,664","88,952","1,235,293",17,"241,406",303,"9,852,076","1,793,751","5,492,442",Europe,"43,3011","224,908"
50,Kazakhstan,"1,304,012",+164,"13,639",+4,"1,277,402",+290,"12,971",528,"68,081",712,"11,575,012","604,317","19,153,882",Asia,"151,4042",9,0.2,677
51,Morocco,"1,161,776","16,029","1,144,073","1,674",293,"30,861",426,"11,237,010","298,497","37,645,271",Africa,"322,3493",44
52,Bulgaria,"1,105,968","35,964","862,437","207,567",357,"161,206","5,242","9,307,684","1,356,691","6,860,580",Europe,61911,"30,255"
53,Lebanon,"1,080,381","10,169","682,977","387,235",186,"159,487","1,501","4,795,578","707,928","6,774,100",Asia,66661,"57,164"
54,Cuba,"1,073,951","8,501","1,063,000","2,450",23,"94,914",751,"12,920,253","1,141,869","11,315,002",North,America,"111,3311",217
55,Croatia,"1,065,001","15,250","1,041,819","7,932",61,"262,139","3,754","4,554,117","1,120,947","4,062,740",Europe,42661,"1,952"
56,Tunisia,"1,005,804","27,943","972,671","5,190",157,"83,634","2,323","4,383,962","364,531","12,026,312",Africa,124303,432
